ra ,dec,u,b,v,r,i,j,h,k
11.287,40.841,18.210,18.200,17.380,16.970,16.240,14.877,14.864,9999.000
10.848,40.845,18.900,18.370,17.390,16.800,16.170,15.378,14.746,14.638
10.328,40.954,19.743,18.754,17.390,16.620,15.680,14.404,13.529,13.279
10.650,41.293,18.784,18.351,17.408,16.812,16.177,14.832,14.027,14.180
10.838,41.236,18.885,18.430,17.410,16.910,16.130,15.256,14.529,14.783
11.062,38.428,18.409,18.164,17.412,16.951,16.340,15.808,15.124,15.240
10.669,41.176,18.632,18.231,17.416,16.754,16.126,15.188,14.615,14.554
10.518,42.057,18.576,18.767,17.427,16.885,16.287,15.532,14.662,14.638
11.105,41.237,18.580,18.110,17.430,17.028,16.380,15.297,14.662,14.537
10.303,40.572,17.599,17.819,17.431,17.158,16.620,16.097,14.884,14.348
9.853,40.241,18.438,18.289,17.442,16.894,16.243,16.038,9999.000,15.941
10.552,41.317,19.288,18.663,17.442,16.530,15.650,14.715,13.789,13.630
10.777,42.030,18.483,18.234,17.468,16.982,16.505,15.953,15.710,15.204
10.630,41.148,18.976,18.360,17.470,16.770,15.890,15.060,14.314,14.250
10.386,41.642,18.680,18.370,17.480,16.810,16.240,15.291,14.659,14.444
10.818,41.401,18.920,18.530,17.480,16.860,16.140,14.907,14.194,13.826
10.152,40.671,18.110,18.100,17.490,17.060,16.770,9999.000,9999.000,9999.000
10.745,41.148,19.120,18.481,17.496,16.900,16.197,15.191,14.490,14.365
10.742,41.281,19.149,18.493,17.506,16.660,16.296,15.068,14.398,15.007
10.440,41.701,18.320,18.230,17.510,16.880,16.300,15.877,15.240,15.491
10.625,41.290,18.489,18.285,17.510,16.957,16.860,16.225,16.080,15.233
11.991,41.813,18.992,18.377,17.522,16.675,16.370,15.210,14.485,14.283
10.311,41.411,19.140,18.600,17.530,16.880,16.220,15.075,14.460,14.023
10.206,40.692,18.614,18.372,17.533,16.961,16.380,15.455,14.766,14.616
11.363,41.729,18.410,18.020,17.540,17.516,17.010,9999.000,9999.000,9999.000
10.246,41.094,19.301,18.330,17.540,16.880,15.940,14.984,14.241,13.972
10.158,39.758,18.493,18.258,17.544,17.173,16.610,9999.000,9999.000,9999.000
10.011,41.198,18.140,18.180,17.550,17.120,16.580,14.874,14.775,9999.000
10.638,41.338,9999.000,18.210,17.550,16.740,15.980,14.631,9999.000,9999.000
10.959,41.531,18.761,18.529,17.550,17.150,16.440,16.052,15.447,15.493
10.322,41.136,18.911,18.584,17.552,16.866,16.039,14.896,14.601,14.006
10.945,41.375,19.040,18.585,17.556,16.938,16.195,15.232,14.308,14.150
10.440,40.832,18.260,18.080,17.560,17.110,16.870,15.596,15.312,14.700
10.590,41.368,18.459,18.360,17.560,17.651,17.273,9999.000,9999.000,9999.000
