,ac age,fu,fb,fv,fr,fi,fj,fh,fk,nuv,enuv,fuv,efuv,Vr
1476,other class,7,7,7,5,5,9,9,9,999.00,999.00,999.00,999.00,-320.00
1477,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-109.00
1478,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-423.00
1479,other class,7,7,7,7,7,9,9,9,21.02,0.08,21.40,0.10,-585.00
1480,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-582.00
1481,other class,5,7,7,7,7,5,9,5,999.00,999.00,999.00,999.00,-430.00
1482,other class,7,7,7,7,7,5,5,5,22.04,0.13,999.00,999.00,-495.00
1483,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-343.00
1484,other class,5,7,7,7,7,9,9,9,22.55,0.20,999.00,999.00,-549.00
1485,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-466.00
1486,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-625.00
1487,other class,7,7,7,7,7,9,9,9,23.59,0.70,999.00,999.00,-499.00
1488,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-476.00
1489,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-519.00
1490,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-448.00
1491,other class,5,5,5,5,5,9,9,9,22.29,0.19,999.00,999.00,-501.00
1492,other class,7,7,7,7,7,9,9,9,22.88,0.34,999.00,999.00,-364.00
1493,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-246.00
1494,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-454.00
1495,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-544.00
1496,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-417.00
1497,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-435.00
1498,other class,5,5,5,5,5,9,9,9,21.47,0.15,999.00,999.00,-409.00
1499,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-373.00
1500,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-301.00
1501,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-373.00
1502,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-150.00
1503,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-258.00
1504,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-146.00
1505,other class,5,7,7,7,7,9,9,9,999.00,999.00,21.22,0.07,-84.00
1506,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,-55.00
1507,other class,7,7,7,7,7,9,9,9,22.04,0.08,999.00,999.00,-175.00
1508,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-69.00
1509,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-313.00
1510,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-193.00
1511,other class,7,7,7,7,7,9,9,9,24.50,1.33,999.00,999.00,-123.00
1512,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1513,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1514,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1515,other class,7,7,7,7,7,5,9,5,999.00,999.00,999.00,999.00,99999.00
1516,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1517,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1518,other class,7,7,7,7,7,5,9,5,999.00,999.00,999.00,999.00,99999.00
1519,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1520,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1521,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1522,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1523,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1524,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1525,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1526,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1527,other class,6,6,6,6,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1528,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1529,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1530,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1531,other class,6,6,6,6,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1532,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1533,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1534,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1535,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1536,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1537,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1538,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1539,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1540,other class,6,6,6,6,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1541,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1542,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1543,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1544,other class,6,6,6,6,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1545,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1546,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1547,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1548,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1549,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1550,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1551,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,99999.00
1552,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1553,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1554,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1555,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1556,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1557,other class,5,5,5,5,5,9,9,9,999.00,999.00,999.00,999.00,99999.00
1558,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-97.00
1559,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1560,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,99999.00
1561,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1562,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1563,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,12.00
1564,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1565,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1566,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1567,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1568,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1569,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1570,other class,6,6,6,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1571,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1572,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1573,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1574,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1575,other class,7,7,7,7,7,5,9,5,999.00,999.00,999.00,999.00,99999.00
1576,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1577,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1578,other class,6,6,6,6,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1579,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1580,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1581,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1582,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1583,other class,6,6,6,6,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1584,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1585,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1586,other class,6,6,6,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1587,other class,6,6,6,6,7,0,0,0,999.00,999.00,999.00,999.00,99999.00
1588,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1589,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1590,other class,7,6,6,6,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1591,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1592,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1593,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1594,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1595,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1596,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1597,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1598,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,99999.00
1599,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1600,other class,6,6,6,6,6,9,9,9,999.00,999.00,22.53,0.44,-212.00
1601,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,99999.00
1602,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1603,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1604,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1605,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1606,other class,6,6,6,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1607,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1608,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1609,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1610,other class,6,7,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1611,other class,5,5,5,5,5,5,5,5,999.00,999.00,999.00,999.00,99999.00
1612,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1613,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1614,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1615,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1616,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,99999.00
1617,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1618,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,99999.00
1619,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-55.00
1620,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-77.00
1621,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,50.00
1622,other class,6,6,6,6,7,9,9,9,999.00,999.00,999.00,999.00,-127.00
1623,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-64.00
1624,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-60.00
1625,other class,7,6,6,6,7,5,5,5,999.00,999.00,999.00,999.00,-122.00
1626,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,-47.00
1627,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-39.00
1628,other class,7,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-79.00
1629,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-89.00
1630,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-50.00
1631,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-45.00
1632,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-57.00
1633,other class,5,7,7,7,7,9,9,9,999.00,999.00,999.00,999.00,-62.00
1634,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-111.00
1635,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,99999.00
1636,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,30.00
1637,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-43.00
1638,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,0.00
1639,other class,5,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-352.00
1640,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-4.00
1641,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-70.00
1642,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-1.00
1643,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-380.00
1644,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,78.00
1645,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,48.00
1646,other class,6,7,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-99.00
1647,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,-29.00
1648,other class,7,7,7,7,7,5,5,5,999.00,999.00,999.00,999.00,8.00
1649,other class,6,7,6,7,7,5,5,5,999.00,999.00,999.00,999.00,-92.00
1650,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,-77.00
1651,other class,6,6,6,6,7,5,5,5,999.00,999.00,999.00,999.00,-81.00
1652,other class,6,6,6,6,6,5,5,5,999.00,999.00,999.00,999.00,14.00
1653,other class,6,7,6,6,6,9,9,9,999.00,999.00,999.00,999.00,50.00
1654,other class,6,6,6,6,6,5,5,5,21.41,0.09,21.84,0.12,99999.00
1655,other class,6,6,6,6,6,9,9,9,999.00,999.00,999.00,999.00,99999.00
1656,other class,6,6,6,6,6,0,0,9,999.00,999.00,999.00,999.00,-46.00
1657,other class,6,6,6,6,7,0,0,0,999.00,999.00,999.00,999.00,-50.00
