,label,fu,fb,fv,fr,fi,fj,nuv,enuv,fuv,efuv,Vr,ra (deg),dec (deg)
1,GCs,6,6,6,6,6,0,18.02,0.01,18.97,0.03,-332,9.96,40.97
2,GCs,0,0,0,0,0,0,19.33,0.02,20.17,0.05,-165,10.01,41.2
3,GCs,0,0,0,0,0,0,20.11,0.04,21.11,0.11,-451,10.04,41.18
4,GCs,0,0,0,0,0,0,18.28,0.01,19.05,0.02,-274,10.07,41.38
5,GCs,6,6,6,6,7,0,19.39,0.08,20.66,0.11,-470,10.08,40.73
6,GCs,0,0,0,0,0,0,19.33,0.02,20.08,0.05,-187,10.11,41.46
7,Galaxy,13,19,19,19,1,0,19.64,0.21,20.62,0.19,70,10.11,41.49
8,GCs,7,7,7,7,7,0,19.07,0.02,19.74,0.05,-220,10.13,41.27
9,GCs,0,0,0,0,0,5,16.43,0,16.58,0.01,-567,10.13,41.62
10,GCs,0,0,0,0,0,0,21.18,0.09,22.5,0.23,-330,10.13,41.24
11,GCs,7,7,0,7,0,0,19.2,0.01,20.05,0.02,-351,10.13,41.65
12,GCs,0,0,0,0,0,0,19.97,0.02,20.81,0.04,-224,10.14,41.36
13,GCs,0,0,0,0,0,0,19.09,0.01,20.23,0.04,-224,10.16,41.42
14,Galaxy,7,0,0,0,0,0,18.73,0.02,19.48,0.03,-138,10.16,41.21
15,GCs,6,0,6,0,6,0,21.32,0.06,999,999,-174,10.19,41
16,GCs,7,0,0,0,0,0,19.2,0.02,20.43,0.04,-192,10.19,41.37
17,GCs,0,0,0,0,0,0,19.02,0.01,20.11,0.02,-363,10.2,41.2
18,GCs,6,6,0,6,0,0,18.7,0.02,19.61,0.05,-189,10.21,40.69
19,GCs,0,0,0,7,0,0,18.89,0.02,19.72,0.06,-162,10.22,41.31
20,GCs,7,19,7,19,7,0,19.03,0.02,19.94,0.04,-106,10.23,41.69
21,GCs,6,0,0,0,0,0,18.94,0.02,19.9,0.04,-56,10.25,41.09
22,GCs,0,0,0,0,0,0,21.21,0.08,999,999,-273,10.25,41.41
23,GCs,7,0,0,0,1,0,18.68,0.01,20.2,0.04,-315,10.25,41.23
24,GCs,0,0,0,0,0,0,21.2,0.14,22.65,0.27,-334,10.3,41.76
25,GCs,0,0,0,0,0,0,19.55,0.03,20.21,0.06,-247,10.3,41.01
26,GCs,0,0,0,0,0,0,21.24,0.05,21.96,0.1,-59,10.31,41.41
27,GCs,6,6,0,6,0,0,21.21,0.06,999,999,-253,10.31,40.93
28,GCs,0,0,0,0,6,2,19.89,0.11,20.81,0.13,-424,10.32,40.98
29,GCs,6,0,0,0,6,0,19.91,0.04,21.67,0.14,-139,10.32,41.01
30,GCs,6,6,0,0,0,0,20.58,0.03,21.49,0.07,-478,10.33,40.95
31,GCs,6,0,0,0,0,5,20.9,0.03,22.79,0.16,-125,10.34,40.98
32,GCs,0,0,0,0,0,0,20.03,0.03,20.64,0.06,-347,10.34,41.29
33,GCs,6,6,0,6,6,0,19.72,0.02,21.18,0.06,-469,10.36,41
34,GCs,0,0,0,0,0,0,19.36,0.02,20.78,0.05,-161,10.37,40.9
35,GCs,7,0,0,0,0,0,20.1,0.03,22.07,0.19,-373,10.39,41.64
36,GCs,0,0,0,0,0,0,21.18,0.05,999,999,-539,10.39,41.43
